Year,Date,Time,Pressure,Air_Temp,Rel_Humidity,Wind_Speed,Wind_Dir,In_Radiation,Rainfall
2017,1-Jan,0:05,100.2,25.94,83,1.7,40.02,0,0
2017,1-Jan,0:10,100.2,25.87,83.3,0.2,5.249,0,0
2017,1-Jan,0:15,100.2,25.87,83.4,0.2,35.43,0,0
2017,1-Jan,0:20,100.2,25.94,83.5,0.2,49.86,0,0
2017,1-Jan,0:25,100.2,25.87,83.5,0.2,355,0,0
2017,1-Jan,0:30,100.2,25.91,83.6,0.2,346,0.049,0
2017,1-Jan,0:35,100.2,25.94,83.8,1.325,31.49,0,0
2017,1-Jan,0:40,100.2,25.84,83.9,2.65,40.49,0.049,0
2017,1-Jan,0:45,100.2,25.87,84.2,1.625,39.27,0,0
2017,1-Jan,0:50,100.2,25.94,84.3,0.875,351,0,0
2017,1-Jan,0:55,100.2,25.97,84.2,0.2,10.31,0,0
2017,1-Jan,1:00,100.2,25.97,84,1.3,345.2,0,0
2017,1-Jan,1:05,100.2,26.04,83.8,0.2,24.93,0.049,0
2017,1-Jan,1:10,100.2,26.07,83.7,1.325,2.062,0.049,0
2017,1-Jan,1:15,100.2,26.01,83.6,0.2,31.4,0,0
2017,1-Jan,1:20,100.2,26.07,83.6,0.2,1.593,0.049,0
2017,1-Jan,1:25,100.2,26.07,83.5,2.05,342.2,0.098,0
2017,1-Jan,1:30,100.2,26.01,83.4,2,0.094,0,0
2017,1-Jan,1:35,100.2,26.07,83.3,2.125,27.09,0,0
2017,1-Jan,1:40,100.2,26.07,83.3,2.275,33.46,0,0
2017,1-Jan,1:45,100.2,26.01,83.4,1.7,29.62,0,0
2017,1-Jan,1:50,100.2,26.01,83.5,1.75,27.74,0,0
2017,1-Jan,1:55,100.2,26.01,83.5,0.425,35.9,0.049,0
2017,1-Jan,2:00,100.2,25.94,83.5,0.2,31.12,0,0
2017,1-Jan,2:05,100.2,25.94,83.6,0.2,40.49,0,0
2017,1-Jan,2:10,100.2,25.94,83.6,1.05,40.58,0,0
2017,1-Jan,2:15,100.2,25.94,83.5,0.2,37.68,0.049,0
2017,1-Jan,2:20,100.2,25.94,83.4,0.2,25.03,0.049,0
2017,1-Jan,2:25,100.2,26.01,83.5,0.2,50.61,0,0
2017,1-Jan,2:30,100.2,25.94,83.4,0.425,29.99,0,0
2017,1-Jan,2:35,100.1,25.94,83.4,0.425,355,0,0
2017,1-Jan,2:40,100.1,26.01,83.5,0.2,333.1,0,0
2017,1-Jan,2:45,100.1,25.94,83.7,0.2,344.5,0,0
2017,1-Jan,2:50,100.1,25.91,83.9,0.2,345.8,0,0
2017,1-Jan,2:55,100.1,25.94,84.2,0.2,0,0,0
2017,1-Jan,3:00,100.1,25.84,84.4,0.2,6.842,0,0
2017,1-Jan,3:05,100.1,25.87,84.6,0.2,17.53,0.049,0
2017,1-Jan,3:10,100.1,25.97,85.2,0.525,329.4,0,0
2017,1-Jan,3:15,100.1,25.91,85.5,1.225,352.1,0,0
2017,1-Jan,3:20,100.1,25.87,86,0.225,299.4,0,0
2017,1-Jan,3:25,100.1,25.81,86,1.725,348.7,0,0
2017,1-Jan,3:30,100,25.81,86.3,0.2,349.3,0.049,0
2017,1-Jan,3:35,100,25.81,87,1.825,7.97,0,0
2017,1-Jan,3:40,100,25.61,86.6,0.475,351.3,0.049,0
2017,1-Jan,3:45,100,25.68,86.8,0.2,322.2,0,0
2017,1-Jan,3:50,100,25.64,86.8,0.575,352.3,0,0
